match_id, team_id, inning, total_score, wickets, 50_in_balls, 100_in_balls,id
87,66,2,159,6,38,78,173
88,4,1,159,7,58,91,174
88,66,2,160,8,36,78,175
89,66,1,166,8,44,84,176
89,47,2,168,6,32,82,177
90,80,1,203,5,32,63,178
90,28,2,60,9,72,0,179
91,80,1,205,3,35,66,180
91,28,2,123,10,48,98,181
92,28,1,153,6,53,97,182
92,80,2,154,2,24,67,183
93,64,1,187,8,29,64,184
93,4,2,157,10,42,86,185
94,47,1,208,5,30,61,186
94,11,2,132,9,41,81,187
95,47,1,213,4,29,60,188
95,11,2,70,10,59,0,189
96,28,1,199,4,34,65,190
96,31,2,127,9,49,80,191
97,62,1,174,4,31,66,192
98,62,1,144,10,34,85,193
98,11,2,140,8,64,101,194
99,11,1,158,6,24,74,195
99,62,2,159,6,33,70,196
100,11,1,205,5,27,60,197
100,49,2,159,5,31,70,198
101,49,1,185,4,24,57,199
101,11,2,185,6,35,67,200
102,62,1,160,6,32,69,201
102,49,2,161,3,21,56,202
103,49,1,221,3,25,54,203
103,62,2,106,9,39,80,204
104,10,1,98,10,40,0,205
104,4,2,99,7,39,0,206
105,80,1,182,4,43,73,207
105,82,2,108,9,50,95,208
106,80,1,116,10,60,106,209
106,14,2,117,1,29,59,210
107,14,1,229,2,27,57,211
107,82,2,129,9,30,69,212
108,82,1,162,4,50,76,213
108,80,2,163,3,30,79,214
109,80,1,194,7,36,71,215
109,14,2,149,7,41,87,216
110,82,1,151,9,44,87,217
110,14,2,154,5,46,78,218
111,14,1,183,8,35,63,219
111,80,2,187,4,43,69,220
112,10,1,160,6,31,78,221
112,82,2,126,10,57,90,222
113,82,1,132,7,57,91,223
113,10,2,135,4,36,71,224
114,10,1,192,6,37,66,225
114,80,2,186,9,30,71,226
115,10,1,188,3,45,83,227
115,80,2,181,7,26,59,228
116,80,1,168,9,36,77,229
116,10,2,141,9,53,83,230
117,4,1,134,7,44,92,231
117,10,2,134,8,54,89,232
118,10,1,180,3,47,74,233
118,4,2,164,9,40,93,234
119,10,1,198,2,46,75,235
119,4,2,137,10,29,64,236
120,10,1,108,6,25,51,237
120,14,2,87,7,36,0,238
121,14,1,158,4,45,77,239
121,47,2,169,7,35,68,240
122,14,1,132,7,51,95,241
123,14,1,164,6,38,85,242
123,47,2,168,4,28,71,243
124,66,1,143,9,40,66,244
124,28,2,93,3,31,0,245
125,66,1,171,5,48,79,246
125,28,2,159,9,32,82,247
126,66,1,184,5,22,63,248
126,28,2,135,7,50,80,249
127,80,1,173,6,46,73,250
127,64,2,175,3,38,73,251
128,66,1,129,10,32,90,252
128,28,2,130,2,19,49,253
129,66,1,211,4,33,61,254
129,28,2,175,10,23,64,255
130,28,1,190,10,19,43,256
130,66,2,140,10,23,77,257
131,24,1,219,6,28,62,258
131,47,2,139,10,32,87,259
132,24,1,158,8,46,76,260
132,47,2,162,3,36,75,261
133,24,1,212,4,32,61,262
133,47,2,208,6,32,56,263
134,24,1,179,7,56,86,264
134,4,2,144,10,28,63,265
135,80,1,155,8,43,75,266
135,14,2,89,10,64,0,267
136,80,1,147,6,38,85,268
136,14,2,136,8,60,100,269
137,80,1,150,5,36,84,270
137,14,2,117,10,35,93,271
138,80,1,148,6,53,89,272
138,24,2,146,6,34,94,273
139,24,1,153,7,33,90,274
139,80,2,154,4,36,86,275
140,80,1,166,3,50,85,276
140,24,2,119,10,51,80,277
141,28,1,109,8,62,114,278
141,47,2,110,5,53,101,279
142,47,1,195,2,37,74,280
142,28,2,124,9,47,105,281
143,28,1,181,3,36,84,282
143,47,2,182,4,35,71,283
144,28,1,160,8,47,80,284
144,64,2,161,6,25,64,285
145,64,1,182,6,49,86,286
145,28,2,45,10,0,0,287
146,28,1,71,10,62,0,288
146,64,2,72,2,43,0,289
147,19,1,117,6,70,114,290
147,14,2,119,3,49,81,291
148,47,1,126,7,37,89,292
148,14,2,127,7,48,91,293
149,47,1,190,4,35,85,294
149,14,2,194,3,41,70,295
150,82,1,132,8,36,55,296
150,11,2,134,1,23,47,297
151,11,1,171,9,43,87,298
151,82,2,172,2,30,55,299
152,19,1,153,6,52,80,300
152,34,2,132,7,49,93,301
153,19,1,107,10,58,108,302
153,34,2,111,6,71,113,303
154,34,1,104,8,32,56,304
154,19,2,90,8,24,0,305
155,49,1,153,7,50,84,306
155,62,2,154,3,34,69,307
156,11,1,159,5,38,73,308
156,42,2,144,9,35,87,309
157,42,1,166,4,61,88,310
157,62,2,167,2,27,73,311
158,11,1,180,7,32,61,312
158,49,2,181,4,26,49,313
159,62,1,182,9,23,46,314
159,11,2,183,9,33,67,315
160,42,1,111,10,69,110,316
160,49,2,115,3,52,87,317
161,9,1,216,4,33,61,318
161,25,2,83,8,67,0,319
162,95,1,124,6,46,108,320
162,9,2,125,2,33,73,321
163,95,1,156,6,55,82,322
163,25,2,93,7,65,0,323
164,9,1,205,2,28,60,324
164,25,2,11,2,0,0,325
165,25,1,46,3,0,0,326
165,95,2,36,2,0,0,327
166,95,1,56,8,66,0,328
166,9,2,60,0,14,0,329
167,17,1,152,7,32,64,330
167,19,2,29,2,0,0,331
168,19,1,182,7,39,73,332
168,17,2,158,6,48,83,333
169,53,1,130,6,69,112,334
169,99,2,135,4,36,61,335
170,14,1,233,2,29,58,336
170,4,2,99,9,62,0,337
171,4,1,117,10,49,97,338
171,14,2,118,1,30,61,339
172,4,1,142,6,47,88,340
172,14,2,145,3,40,79,341
173,80,1,107,5,48,88,342
173,14,2,41,0,0,0,343
174,80,1,150,6,51,93,344
174,14,2,151,3,38,72,345
